cost,yaw,pitch,roll,rollraw,pitchraw,yawraw
0.551165555214029,0.6620814164477549,0.009516630890707067,-0.021461577101976197,0.01649644423389069,0.005668689574029344,-0.0001393353837070613
0.5572738519377866,0.6622753780970169,0.009529156534182912,-0.021597894056708995,0.016495884029488615,0.005670278590297941,-0.0001398397197242438
0.5795805914250086,0.6623801485233073,0.009845938378934042,-0.021969025669411064,0.01649555585587201,0.005671083622329027,-0.00014351265473630902
0.5899405155315088,0.6624800375000316,0.009935994869369087,-0.022163405006618005,0.016495256779388963,0.005671884007465567,-0.00014481428448378372
0.6065430681228546,0.6624867723734472,0.010238195432780326,-0.022399161198648727,0.016495216368848997,0.005671890206246531,-0.00014797573680242314
0.6191202229367807,0.6624919768031932,0.010658275531328358,-0.02248380273964055,0.016495190301155958,0.005671881687908566,-0.0001516806935520356
0.6364082994359229,0.662690464265423,0.011149569059872766,-0.022629525165479076,0.016494609652086146,0.005673454190013674,-0.00015616115172711062
0.6451504578353872,0.6627896992810686,0.011298465734891554,-0.022748519289678363,0.01649431679292562,0.005674246964030357,-0.0001577343652236637
0.6518707298895964,0.6629838916774468,0.011504125854796087,-0.022793109007035624,0.0164937592801781,0.0056758222969124665,-0.00015957198885377236
0.6542291021111031,0.6631763525015338,0.011634259630159864,-0.022778786292714005,0.01649321212948942,0.0056773962543533426,-0.00016061939017964546
0.6673272688363927,0.6637564108672851,0.011654041782531334,-0.02305451320170102,0.016491543029442893,0.0056821551169695395,-0.0001616107602794611
0.6718177459762879,0.6638539597585424,0.01172730239075303,-0.02311467336157113,0.01649126001182447,0.005682946413244876,-0.00016239341271716566
0.6896451611805026,0.6638610100342336,0.011835623141817865,-0.023442764044057773,0.016491212304721656,0.005682965547809291,-0.00016421936312408026
0.7123303522091258,0.6639657524980527,0.012017126139838356,-0.0238310518347038,0.016490880574378298,0.005683776304784593,-0.00016682770139017807
0.733177404901048,0.6637823020127877,0.012264549980562162,-0.024140385636425545,0.016491372644516892,0.005682208888319548,-0.000169731742416949
0.7400937764331266,0.6636892517227015,0.012283311113483525,-0.02427373157391543,0.016491625704613423,0.005681428085256876,-0.00017025759358534352
0.7495706733843842,0.6638845341235733,0.012429594138952315,-0.024394176824096902,0.016491058522546915,0.005683010774757137,-0.00017182209452383247
0.7448230060794285,0.6641701072586829,0.012347131185483378,-0.02433868027580568,0.016490252849063795,0.00568537991138691,-0.0001710081284884733
0.7378882275847917,0.6647421707443553,0.012316830827780584,-0.024211235118114596,0.016488636985964825,0.005690110858847749,-0.00017044309975124627
0.7309901975816254,0.6650268349865556,0.012293602924975605,-0.024080230993590086,0.016487838057375484,0.005692471530032111,-0.00016990217291937428
0.7382616175576797,0.6654127547106676,0.012494288358887246,-0.024127875496252345,0.016486732077453735,0.005695625364584812,-0.00017172364426420702
0.7552120813607605,0.6655149051470789,0.012852630616031084,-0.024290367794840426,0.01648642151007322,0.005696411103844247,-0.00017514853477641984
0.7773695214779511,0.6652357033535178,0.013295700015992281,-0.024507017006618614,0.01648719033519469,0.005694037520401043,-0.00017939478636718923
0.7872138910221731,0.6651436036011207,0.01344883499893542,-0.024624027456806953,0.016487439822175116,0.005693249318054083,-0.00018098264272711044
0.8150742932502514,0.6650579708576547,0.013962720539503712,-0.024902143048058586,0.016487649693260737,0.005692455384722665,-0.00018600331541329624
0.8363857698155535,0.6650652458291779,0.014457981165831172,-0.02504700681566611,0.01648760560335695,0.005692440719854992,-0.0001904988181108319
0.8477977535891013,0.6651645152275587,0.014800042934026269,-0.0250750171034853,0.01648731231002193,0.005693213922753343,-0.00019340642029359853
0.8405873814568903,0.6653531255974935,0.014779012794517543,-0.024943298945335538,0.016486786673605296,0.005694784067769515,-0.00019287353812534304
0.8426091342679191,0.6655458487302821,0.014715061704219443,-0.025021512610330605,0.01648623303926086,0.0056963731249571395,-0.00019258493933439313
0.8446492351978274,0.665834371608602,0.014648676106482546,-0.0251011060219504,0.016485406190829048,0.00569875198042709,-0.00019228827422087123
0.8231172487423533,0.6663061341046528,0.014141569260192562,-0.024962637432802047,0.016484084924818416,0.005702716300041345,-0.00018775307203201832
0.8201341165664294,0.6664969222812017,0.014002229414515097,-0.024981426860564183,0.01648354240428934,0.005704304135758351,-0.00018667410369302905
0.8243796076596454,0.6668822393467826,0.013874110859825326,-0.025137395559383678,0.01648243288831589,0.005707480967150657,-0.00018609537655708637
0.8469534246225083,0.6669867166686088,0.014113560465762742,-0.025451146056745016,0.01648210311953074,0.005708282818869687,-0.00018897281999069726
0.8294579754183871,0.6665009183134821,0.013959056983565905,-0.02519132198889028,0.01648351443614221,0.0057043227905205565,-0.00018691729551805627
0.819319699040778,0.6664013273921086,0.013810833217527345,-0.025071509425609404,0.016483811669078457,0.005703531415996976,-0.0001853456910112565
0.8092548972472616,0.6663975584555556,0.013660195359966472,-0.024953035085432236,0.01648383546064989,0.005703529763643209,-0.000183766045226797
0.8135738765505802,0.6664954113142381,0.013539319551186466,-0.025104993579792848,0.016483546120257417,0.005704337122934511,-0.00018321143962796984
0.8008014678368459,0.6670655799077538,0.013239761725315252,-0.025010201464476915,0.016481933019268327,0.005709081368105658,-0.00018052032006458927
0.7953495629572154,0.6672553906406976,0.012965833525726824,-0.025044694526792567,0.016481393209060783,0.005710675845414709,-0.00017837755110488782
0.7975916922372198,0.6672563644387306,0.01290653375665798,-0.025119973698741565,0.016481385075681056,0.005710684385391781,-0.00017810393758612268
0.8067437909245814,0.6673560168994123,0.01266689817580771,-0.025422302836845854,0.01648107852954182,0.00571150807204437,-0.00017700117558874334
