cost,yaw,pitch,roll,rollraw,pitchraw,yawraw
0.2883129893735038,-2.3056471025341896,0.014842897542607803,0.00824629504160208,0.007081082328920602,-0.015941925288360918,-0.00011828140964342946
0.29992012841398547,-2.3027794650030473,0.01635993426092214,0.005680904804015939,0.007103805226185498,-0.01593178511659287,-0.00010336122900344747
0.2227937926534033,-2.2947028994066327,0.014348112047392923,0.004114058012335431,0.007168018463129706,-0.01590318220267454,-8.413653534432246e-05
0.19437286197854317,-2.2899978860131225,0.013402826996986342,0.0038388918280406427,0.007205406441033203,-0.015886345488061792,-7.877895765368409e-05
0.16038336861916067,-2.279829410190943,0.011809042215737437,0.004574919733294968,0.00728612407860712,-0.01584956897244422,-7.927585062365062e-05
0.17162384779503242,-2.262573282418626,0.01038794605895957,0.007982131574409104,0.007422705873582302,-0.01578603886969963,-0.00010155604934576193
0.18585179660662093,-2.2496170445954213,0.008413507728350209,0.010726820792369574,0.007524828711217778,-0.01573758101458768,-0.0001160626207748397
0.1952075819147515,-2.2432744914701366,0.006748829430806814,0.012233596496068819,0.007574659951114596,-0.01571363478563091,-0.00012167833534500652
0.2564893029690464,-2.2318326416539542,0.0038960901964745806,0.01553414896767702,0.007664286975554188,-0.015669966007102507,-0.00013664307506943343
0.4808124638021003,-2.2178655724678187,0.0013098363775943555,0.021888279796869164,0.007773188616865334,-0.015615684530029995,-0.0001759983993990369
0.6943462560536755,-2.210429125222125,0.00041548077986340104,0.026347175024568376,0.007830919259373448,-0.015586292846485222,-0.00020696634310179786
0.8097792575386952,-2.2071411683793025,0.00013322714715820002,0.028456308756863658,0.007856390965258035,-0.015573187259751436,-0.00022211611305354356
1.0507904754633572,-2.2010412284611047,-0.00044732516595197573,0.032412811906085276,0.007903542870974457,-0.015548720780550815,-0.0002502427409392512
1.3867658842551824,-2.1939553105886067,-0.0014262186388951312,0.03721198442235042,0.007958097684558239,-0.015520046207101705,-0.00028312207886263405
